empresa_id,modelo_codigo,ordem,manobra_codigo,tripulante,status_classificacao,fonte_classificacao,observacoes,source
"6","A139-I-05/12","11","WAR-OUT-15","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","12","FLY-BAS-17","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","13","CAU-HOT-65","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","14","WAR-LOW-29","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","15","WAR-HIG-29","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","16","CAU-FLO-73","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","17","CAU-LIC-60","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","18","FLY-BAS-X1","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","19","OPS-NRM-X2","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","20","WAR-STA-X1","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","21","CAU-GPS-52","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","22","CAU-FMS-51","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-06/12","1","CAU-APF-37","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","2","CAU-MIS-40","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","3","CAU-SAS-41","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
