aeronave,modelo_sessao_codigo,modelo_sessao_nome,finalidade,ordem,manobra_codigo,manobra_nome,categoria,tipo_conteudo,aplicabilidade,referencia_pto,referencia_normativa
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,17,CAU-MIS-40,AP MISTRIM,AFCS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,18,CAU-SAS-41,SAS degraded,AFCS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,1,A139-TRE-01L,Seleção de modos AFCS em condição noturna,TREINAMENTO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,2,A139-TRE-02A,Monitoramento de FMA durante mudança de modo,TREINAMENTO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,3,A139-NAV-02,Uso AP & automação,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,4,CAU-APO-38,AP OFF,AFCS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,5,A139-VOO-02,Controle geral IFR,VOO_BASICO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,6,CAU-APF-37,AP failure,AFCS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,7,CAU-MIS-40,AP MISTRIM,AFCS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,8,CAU-SAS-41,SAS degraded,AFCS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
